text,label
出差申请如何填写？,1
我要知道江八的电话号码,0
投资管理系统（INVEST）的责任人是谁,1
有李四的手机号吗,0
烽火超微制造执行系统（FS manufacture execution system）的责任人是谁,1
SSE,1
线缆看板系统（kanban）的责任人是谁,1
李四电话或者手机是多少,0
江八电话或者手机是多少,0
国内机票超标怎么处理？,1
部分发票无法识别（如国外发票、核酸检测发票、收据等），怎么处理？,1
你能告诉我王五的电话吗？,0
线缆制造信息系统（manufacture information system）的责任人是谁,1
发票录入后显示查无此票，怎么处理?,1
需求管理（Requirement Management System）的责任人是谁,1
出差申请流程审批人查询状态异常,1
机酒预订客服电话是多少？,1
宋七的电话号码是,0
我想知道江八的手机号,0
电子发票怎样报销？,1
王五电话或者手机是多少,0
发票录入后核验不通过，系统提示“数据不一致！”？,1
你能告诉我江八的电话吗？,0
国内增值税发票系统（Internal Invoice System）的责任人是谁,1
新型全电发票目前系统无法识别，要如何录入？,1
制造部不合格品管理系统（Nonconforming Product Management System）的责任人是谁,1
有王五的手机号吗,0
我想知道孔九的手机号,0
调度中心（Schedule Job）的责任人是谁,1
联系宋七的手机号是多少,0
酒店预定的流程是什么?,1
商旅预定平台如何登陆？,1
我要知道宋七的电话号码,0
精益项目管理(CIM)（CIM-PROJECT）的责任人是谁,1
江八的电话号码是,0
管理报表展示系统（FMR）的责任人是谁,1
赵六电话,0
话费报销的流程是什么？,1
孔九电话,0
工单管理系统（ISSUE TO RESOLUTION GD）的责任人是谁,1
内部改善管理(CIM)（CIM-GS）的责任人是谁,1
计划与管理项目（PM）（P&MP）的责任人是谁,1
计划与管理项目系统（Plan and Management Project System）的责任人是谁,1
发票采集的流程是什么？,1
请问我这张通用电子发票为什么显示识别不规范？,1
有张三的手机号吗,0
填报时提示“对公支付合同记录不能为空”。,1
拉美制造信息系统（Latam manufacture information system ）的责任人是谁,1
工程开通管理系统（Engineering Opening Management System）的责任人是谁,1
SSE报销申请单上直接经理异常,1
行网合同执行过程管理系统（Industry Network Contract execute manager system）的责任人是谁,1
报销有问题,1
我想知道李四的手机号,0
国内机票退改/改签怎么处理？,1
有赵六的手机号吗,0
联系李四的手机号是多少,0
我要知道王五的电话号码,0
SVN代码仓库（SVN）的责任人是谁,1
报销流程是怎样的,1
